ts,replicate,xmin,alpha,ks,n_tail,tail_fraction,centered_ks
64,1540,4,2.624842498616414,0.007031134175217002,593149,0.017374082359704012,0.0052377275690742575
64,1541,6,2.608750339817342,0.0036268705653978994,288328,0.008017075184520802,0.004830887485333113
64,1542,5,2.534773421515644,0.006983115606496559,405644,0.011615069444768561,0.0067885205389483505
64,1543,7,2.4813471759346366,0.010346355663465645,213193,0.00599515299024822,0.010245513685424368
64,1544,1,3.6201763926154586,0.011393189324777953,36572415,1.0,0.005955795266709196
64,1545,6,2.5631434297258266,0.004563082552376807,279730,0.008198594682382052,0.0037583790489239544
64,1546,5,2.5356419720502803,0.008628766065500226,391903,0.011325147732950494,0.0026717399287536914
64,1547,6,2.535208407283388,0.007674318917575751,289048,0.008180554304383877,0.0018477124552669366
64,1548,5,2.5932338343984456,0.006224223282658814,407614,0.011388623368361927,0.002026181492457646
64,1549,5,2.5498885935811546,0.00955928979981624,405239,0.01152121724217929,0.003634506316945507
64,1550,6,2.5322235048625945,0.01118854828670135,283278,0.008147274121068636,0.007437185365516019
64,1551,4,2.5445631654740013,0.007653197496936381,668749,0.018528652917956193,0.010517240426192287
64,1552,6,2.499666780727142,0.011169127917446176,289489,0.008245509387619919,0.005981113059391141
64,1553,6,2.562568175567483,0.007529686483776832,296383,0.00828400564149664,0.0020230025622690606
64,1554,5,2.5653607063759662,0.0046421745045113205,419154,0.011677467931218183,0.005513364237199947
64,1555,5,2.582317845620578,0.008878605855357491,412362,0.011359849732032704,0.0029888352211563385
64,1556,5,2.5379362870398583,0.009681157501691628,410351,0.011757771865398123,0.0039187961365985124
64,1557,6,2.488346727156289,0.010475312513429147,280337,0.008147975373284534,0.005908844031723703
64,1558,6,2.5593478677156334,0.008502881207662405,293354,0.008261290334844526,0.004184554511098892
64,1559,5,2.538330407716949,0.010132053455968237,400265,0.011480871018531512,0.004470693862708153
64,1560,6,2.5056178851282658,0.011580357269400321,286680,0.00832239859725722,0.009866289129509376
64,1561,6,2.5916445567433444,0.004965855691626886,292087,0.008043857913425125,0.006728772316860754
64,1562,5,2.558640831021631,0.008172258332663551,416263,0.011469381510082834,0.004106327647643515
64,1563,5,2.565307804739623,0.005151436603605064,424157,0.011868703608342546,0.0076887041987571125
64,1564,5,2.6077022310610984,0.003963700517739865,427901,0.01168853990100084,0.003847106146352308
64,1565,5,2.563466653736365,0.0074116603535214765,414396,0.01160210261022111,0.003139082738874699
64,1566,5,2.574026905863085,0.004993519282487535,415292,0.011650282364184911,0.0050643456882146776
64,1567,6,2.542598402840263,0.005301192951405631,303336,0.00836842107876754,0.0028310963646153153
64,1568,5,2.5376418021834475,0.01093461197394252,424349,0.011842278616612087,0.005085001810211209
64,1569,5,2.567696536673954,0.00971905302978876,414083,0.011402490685977328,0.0023181591826093584
64,1570,6,2.5607628375132103,0.006943223334261339,293567,0.008115888901006956,0.0015236377350199282
64,1571,6,2.527001847595244,0.007706784884823792,300551,0.008472005407633038,0.003032653387200268
64,1572,6,2.548461198584589,0.0064354940001217775,288359,0.008249604440451674,0.0024760368343067496
64,1573,5,2.5825165409597406,0.01029987426888862,393005,0.011313599902537311,0.004926115261520203
64,1574,6,2.57300247926351,0.003803247100463203,286739,0.008216893032724404,0.005368302577128947
64,1575,5,2.5386795489860656,0.00796939801777019,442283,0.012106283955798075,0.001945633114451173
64,1576,6,2.5121782351889492,0.008015230192214617,313800,0.008658415492857676,0.0022783379412736338
64,1577,5,2.6065835237027772,0.007341083214528532,390151,0.01121859509504094,0.00709839054502126
64,1578,6,2.5306025355258503,0.009056757073639954,284157,0.00803847987617623,0.0025958389329724108
64,1579,5,2.5504875726876093,0.008816154225507633,419796,0.011774037299204194,0.005046087320004444
64,1580,5,2.560888915682316,0.009135502946330087,413947,0.011510324581548912,0.002286980591158394
64,1581,7,2.4805110658807674,0.010725130988086251,216031,0.006146905962106974,0.010773834557599171
64,1582,1,3.666584567756099,0.01101195218048756,35890453,1.0,0.007121780928759203
64,1583,5,2.5356809823442497,0.005593110878140961,440797,0.012066711960944101,0.005447038119709813
64,1584,6,2.5575325316023325,0.006751720335371081,299824,0.008388930732256699,0.006335997327582832
64,1585,5,2.5240489440188365,0.010068335757192681,418743,0.011615328828868187,0.00512549025378084
64,1586,6,2.5882424487150284,0.007055753230892914,273010,0.007782325441280173,0.005718132500868389
64,1587,6,2.5332869419261064,0.008372788355683891,290146,0.008180253489575368,0.005722874531308042
64,1588,6,2.5407592399820556,0.004976326233792183,290178,0.008356352722069416,0.0033571365412344845
64,1589,5,2.5463935433919,0.009968903833673992,420971,0.01181352748814167,0.004977019464303178
64,1590,6,2.6027309883024023,0.006324971631171072,293202,0.007975178324396544,0.0019645562552635665
64,1591,5,2.589162943427934,0.007106156594411994,435305,0.011905129487512899,0.005631289269474038
64,1592,6,2.546432605300509,0.009833626447256716,284474,0.008091317081051546,0.00512078122462023
64,1593,5,2.5386283564870786,0.007011675577476395,427019,0.012131788889900932,0.00824454381251899
64,1594,5,2.562872534712345,0.007988212825229435,417660,0.01157967686030894,0.0029442928660212697
64,1595,6,2.54577795343769,0.006702701767213992,306162,0.00843149473182357,0.003066093474622167
64,1596,6,2.57933657728425,0.005668776218649363,302355,0.008283919232040918,0.0029777249998886868
64,1597,6,2.5097802945454215,0.008491766745577611,279994,0.008115700132251066,0.0032782095820352852
64,1598,5,2.568023407174943,0.005422875860930709,413942,0.011781115368022746,0.004604780126423957
64,1599,6,2.503727663191744,0.010216039136017763,284429,0.008148151989022086,0.002981834860003252
64,1600,6,2.5573735861839526,0.007074890542207779,296098,0.008118190910487443,0.004068764499378152
64,1601,6,2.5262335678554617,0.006921301173446026,300807,0.008277855380866051,0.0022406675773295748
64,1602,6,2.5580352917079785,0.004345824011218857,291243,0.008411236492168135,0.003912130624730836
64,1603,6,2.5611834247851677,0.008450654660348556,273601,0.007764412027007568,0.004719930747860868
64,1604,5,2.5487844355822262,0.008109149297241713,402779,0.011298550851641815,0.0026430268177476957
64,1605,6,2.5387609227931325,0.010144298666337925,295413,0.00838463944883838,0.006225360843549188
64,1606,5,2.50834703926596,0.009747014321627001,415390,0.01186429049920504,0.007879795016785929
64,1607,5,2.56456450058964,0.007869188367757685,400109,0.011120194761619488,0.005464089272077199
64,1608,6,2.5510544675571,0.007091008681604505,291036,0.008210958400220151,0.0026811642870249175
64,1609,1,3.6562733783677923,0.011010412376865064,34696314,1.0,0.014161605203830085
64,1610,5,2.5138782555771035,0.007987150613231853,415883,0.01172419065807395,0.002671364527719322
64,1611,5,2.576953751344649,0.009483531569209669,394918,0.011140093592267069,0.00578359097532688
64,1612,6,2.52685130541837,0.005718338841936399,287786,0.008310380733578959,0.0030318238057043256
64,1613,5,2.5611565802294494,0.008563894473871903,390675,0.011247506288152777,0.0022863187792004913
64,1614,6,2.5069354455348836,0.011135447120017017,291549,0.008338162839745195,0.005716732308558514
64,1615,6,2.5031319371884426,0.008635523118903587,293733,0.00842745226371743,0.0022707910815877863
64,1616,5,2.5518262007257513,0.009047243399218918,417927,0.011810478566468394,0.0031649048067960983
64,1617,5,2.623442305034933,0.005733018665506573,387553,0.010911757800326036,0.006202516505304012
64,1618,5,2.5263353478549777,0.008595306679280046,410113,0.011497125235103992,0.002571754200387577
64,1619,6,2.5696095661920975,0.006797395980913112,290052,0.008270362958792406,0.00476071507673459
64,1620,6,2.562726913358027,0.009390325593563342,295363,0.008249866292968502,0.006493388648906806
64,1621,5,2.614678861281395,0.008401870176475534,399797,0.01108249789623616,0.0032963706823744277
64,1622,5,2.5539988534989155,0.008427123604677955,405782,0.011504754214604087,0.001916112779764556
64,1623,5,2.579471177896745,0.0045208260431952585,421584,0.011724975696729447,0.0037056576551506293
64,1624,6,2.5196808809162627,0.009760305858266594,266865,0.007793815133911742,0.0039981426832873534
64,1625,5,2.5669936821823214,0.007968567481176803,399862,0.011252314485336522,0.004176717195679025
64,1626,7,2.49673036473587,0.008266597419956279,212039,0.006020756431370322,0.006387734879240631
64,1627,5,2.556867756425048,0.006375279678388912,411642,0.011673215638527946,0.0029900528314991126
64,1628,5,2.537466778551213,0.006521689795174035,401790,0.011482708319889352,0.002773925357577145
64,1629,1,3.6213830904171838,0.011267456726748892,34926885,1.0,0.007075225986306388
64,1630,5,2.5429962527104224,0.007598660853820216,428854,0.011805446839496503,0.0022995385520501177
64,1631,5,2.542427685809268,0.009863256296735179,386390,0.011167217749214446,0.006012796501936091
64,1632,4,2.565273239868528,0.01002345110240177,620523,0.017557013332536578,0.008084035356742403
64,1633,6,2.5133720644740554,0.006911074504537429,289913,0.00824680760594077,0.0033680992048208402
64,1634,5,2.527623108682854,0.007511091472670928,413730,0.011734751226422327,0.004023019789572063
64,1635,7,2.5643178714857866,0.0063032995603145014,224849,0.006137318394548978,0.0038757940114559353
64,1636,5,2.57283250552439,0.005338831831086632,423331,0.011887829343596687,0.0037561320040935264
64,1637,5,2.532845556353289,0.010504070871539595,403080,0.01131586071384867,0.005061362965313121
64,1638,6,2.514310373285146,0.00715087208087517,303843,0.008567722889010792,0.0014278931180585763
64,1639,5,2.570521816034103,0.00667812744494467,401527,0.011278143113860353,0.0018643275127918635
64,1640,6,2.5954741761232523,0.0050715250641212295,299773,0.008346358639917714,0.0032802943437784116
64,1641,1,3.6169149775689906,0.011770824908699185,36247424,1.0,0.008251328494207621
64,1642,6,2.543152004553974,0.007007380873680358,288788,0.008061472510353059,0.0027481696851480164
64,1643,1,3.5848924235019597,0.012421983767983757,35947943,1.0,0.00811987216232457
64,1644,5,2.536605456672987,0.011002566943877745,409901,0.011610593594185733,0.004070270226655959
64,1645,5,2.5550347799171673,0.006639622563497594,412166,0.011517080230178419,0.005879274843700766
64,1646,5,2.5582299164218507,0.007183962824849011,399427,0.011512713222999382,0.0027362875943021114
64,1647,6,2.510370014894127,0.010818967698383752,283744,0.007999173199251482,0.004269853459978101
64,1648,5,2.5161968583621013,0.008824158570305496,408687,0.011829381262289256,0.004762901651825691
64,1649,6,2.5296362989991947,0.008134590330406977,278521,0.007867219927326492,0.004741277346914069
64,1650,5,2.5746222498603255,0.006109723162947833,422903,0.011864396936757322,0.006119570003092156
64,1651,6,2.515765223169679,0.007449154622368281,305242,0.008535069162575504,0.002901049292101221
64,1652,6,2.557596841725652,0.006320970072431709,295167,0.008284492074248013,0.0027916623107293592
64,1653,6,2.5730812819580837,0.006966591797607724,294058,0.008085457982471215,0.002365153616101595
64,1654,6,2.531882365397204,0.008682337844865828,312806,0.008448109146612313,0.0023355768952625644
64,1655,7,2.5777709997794487,0.004104757301702011,231663,0.0064554315709150325,0.005969731386280985
64,1656,6,2.5611339530854607,0.006516029754980224,284031,0.007933613849080754,0.004917866696078854
64,1657,5,2.5248161495893338,0.007800560749757657,437274,0.012181197803576883,0.006829025960407409
