replicate,xmin,gof_xmin,alpha,beta,maximum_centered_ks,scale_ts_512,centered_ks_ts_512,scale_ts_1024,centered_ks_ts_1024,scale_ts_4096,centered_ks_ts_4096,scale_ts_8192,centered_ks_ts_8192
55,29,29,2.559941484720076,2.5516867124669043,0.007947654549884164,239.91002776359704,0.007947654549884164,225.93782536600776,0.0066486910395410215,206.25537770409218,0.004304139352902081,251.31782120046543,0.007026985055616275
56,29,29,2.450799370805598,2.26614828746825,0.01164989898587565,233.3051512131214,0.00922460020581517,208.59789368241684,0.01022733163572076,177.82503445362036,0.008808546523341065,225.61617701503187,0.01164989898587565
57,29,29,2.558364535005578,2.4937677680198624,0.012752999544876908,218.66131217479042,0.005841532870422217,211.23582366838187,0.012752999544876908,213.22228340106267,0.004622183607103425,230.30190004546904,0.006097823230551747
58,29,29,2.487651927087188,2.4235000028899747,0.011041736354706622,228.589524477643,0.011041736354706622,204.2080339818578,0.006887578928538252,202.98223316518386,0.008390816595228223,221.52948472441966,0.009341810760299496
59,29,29,2.5403761059708043,2.648701347702042,0.008352523883317642,251.35477031032775,0.005120048154095724,214.81163579101772,0.008352523883317642,191.747174861584,0.005206475052694337,260.3553985185584,0.007865429503605692
60,29,29,2.4783580018797977,2.1541191541457185,0.02121210650325639,224.33898519355904,0.00485983281744129,199.33428858418299,0.02121210650325639,187.89146034134248,0.005394247839877631,236.6611064643265,0.011841660843105561
61,29,29,2.504198921554241,2.4474355444748945,0.020105766705708294,240.0665062994749,0.010190628952821967,226.93113756341003,0.01284357065495012,206.20575809102482,0.020105766705708294,240.79104404212,0.013314127440526957
62,29,29,2.4830426400187178,2.302745133301493,0.013345253370203425,236.01851463580022,0.008869095105980718,208.40287091949818,0.006987047582659611,212.7573515913014,0.013345253370203425,209.63266608540408,0.00510800298289138
63,29,29,2.4520202748142452,2.3599125257730758,0.0075826058954827635,229.51972889147055,0.0038696838576293413,202.8181262607785,0.0063279522573043145,182.39518371539654,0.0075826058954827635,224.6411604515575,0.007453436561271065
64,29,29,2.4906680531443275,2.2502717564531767,0.010460576038663572,222.43633779334053,0.004260939171149891,207.6450477445226,0.010460576038663572,195.77832118853993,0.0049037148756853055,244.80340464048155,0.007883729143232654
65,29,29,2.529929190864587,2.356808167736651,0.013088913035811167,226.7364688899793,0.007801138187793821,205.79616316014383,0.008062070324691528,192.77232233579005,0.006739153484855875,246.57397753420415,0.013088913035811167
